STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,indic_bt,Business trend indicator,nace_r2,Statistical classification of economic activities in the European Community (NACE Rev. 2),s_adj,Seasonal adjustment,unit,Unit of measure,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-09,,70.4,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-10,,74.7,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-11,,74.7,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2010-12,,84.8,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2011-01,,66.6,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2011-02,,65.1,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2011-03,,73.6,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2011-04,,73.9,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2011-05,,71.8,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2011-06,,71.7,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2011-07,,73.8,,p,provisional,,
dataflow,ESTAT:STS_TRTU_M(1.0),Turnover and volume of sales in wholesale and retail trade - monthly data,M,Monthly,NETTUR,Net turnover,G47,"Retail trade, except of motor vehicles and motorcycles",CA,"Calendar adjusted data, not seasonally adjusted data",I21,"Index, 2021=100",DE,Germany,2011-08,,71.7,,p,provisional,,
